DATE,COVID_DEATHS,DAILY_DELTA_DEATHS,DAILY_BASE_DEATHS,COVID_COUNT,DAILY_DELTA_CASES,DAILY_BASE_CASES,COVID_COUNT_CUMSUM,COVID_DEATHS_CUMSUM,COVID_COUNT_BY_SPECIMEN_COLLECTION_DATE
2020-02-26,0,0,0,3,0,3,3,0,3
2020-02-27,0,0,0,0,0,0,3,0,0
2020-02-28,0,0,0,0,0,0,3,0,0
2020-02-29,0,0,0,1,0,1,4,0,1
2020-03-01,0,0,0,0,0,0,4,0,0
2020-03-02,0,0,0,0,0,0,4,0,0
2020-03-03,0,0,0,0,0,0,4,0,0
2020-03-04,0,0,0,0,0,0,4,0,0
2020-03-05,0,0,0,0,0,0,4,0,0
2020-03-06,0,0,0,1,0,1,5,0,1
2020-03-07,0,0,0,1,0,1,6,0,1
2020-03-08,0,0,0,2,0,2,8,0,2
2020-03-09,0,0,0,7,0,7,15,0,7
2020-03-10,0,0,0,1,0,1,16,0,1
2020-03-11,0,0,0,7,0,7,23,0,7
2020-03-12,0,0,0,17,0,17,40,0,17
2020-03-13,0,0,0,22,0,22,62,0,22
2020-03-14,0,0,0,28,0,28,90,0,28
2020-03-15,0,0,0,23,0,23,113,0,23
2020-03-16,1,0,1,84,0,84,197,1,84
2020-03-17,2,0,2,93,0,93,290,3,93
2020-03-18,1,0,1,115,0,115,405,4,115
2020-03-19,0,0,0,142,0,142,547,4,142
2020-03-20,6,0,6,217,0,217,764,10,217
2020-03-21,4,0,4,125,0,125,889,14,125
2020-03-22,4,0,4,120,0,120,1009,18,120
2020-03-23,5,0,5,314,0,314,1323,23,314
2020-03-24,5,0,5,367,0,367,1690,28,367
2020-03-25,5,0,5,382,0,382,2072,33,382
2020-03-26,9,0,9,411,0,411,2483,42,411
2020-03-27,3,0,3,437,0,437,2920,45,438
2020-03-28,13,0,13,309,0,309,3229,58,308
2020-03-29,17,0,17,265,0,265,3494,75,265
2020-03-30,14,0,14,443,0,443,3937,89,443
2020-03-31,23,0,23,483,0,483,4420,112,484
2020-04-01,21,0,21,444,0,444,4864,133,443
